fecha,algo,iteraciones,pop_agresivos,pop_cooperativos,pop_neutrales,Aggressive,Cooperative,Neutral,pct_Aggressive,pct_Cooperative,pct_Neutral
2026-04-13 00:38:38,anthropic_sonnet46_default_75,100,4,4,4,0,0,0,0.0,0.0,0.0
2026-04-15 14:59:46,anthropic_sonnet46_prose_75,100,4,4,4,0,0,0,0.0,0.0,0.0
2026-04-16 16:46:12,anthropic_sonnet46_prose,100,4,4,4,0,0,0,0.0,0.0,0.0
2026-04-20 10:04:17,gemini_25_flash_default_75,100,4,4,4,0,0,0,0.0,0.0,0.0
2026-04-23 12:18:14,anthropic_sonnet46_refine_75,100,4,4,4,21,40,39,21.0,40.0,39.0
2026-04-27 10:17:08,anthropic_sonnet46_default_75,100,4,4,4,1,45,54,1.0,45.0,54.0
2026-04-27 10:35:39,anthropic_sonnet46_default_75,10,4,4,4,0,5,5,0.0,50.0,50.0
2026-04-27 14:41:56,anthropic_sonnet46_default_75,100,4,4,4,2,50,48,2.0,50.0,48.0
2026-04-27 23:26:14,gemini_25_flash_default_75,100,4,4,4,4,41,55,4.0,41.0,55.0
2026-04-28 03:14:15,anthropic_sonnet46_prose_75,100,4,4,4,8,54,38,8.0,54.0,38.0
2026-04-28 03:57:27,gemini_25_flash_default_75,100,4,4,4,1,51,48,1.0,51.0,48.0
2026-04-28 06:02:57,anthropic_sonnet46_prose_75,100,4,4,4,7,55,38,7.0,55.0,38.0
2026-04-29 00:49:46,gemini_25_flash_prose_75,100,4,4,4,17,51,32,17.0,51.0,32.0
2026-04-29 03:19:31,gemini_25_flash_prose_75,100,4,4,4,22,54,24,22.0,54.0,24.0
2026-04-29 05:54:37,gemini_25_flash_refine_75,100,4,4,4,25,41,34,25.0,41.0,34.0
2026-04-29 12:52:44,gemini_31_pro_default_75,100,4,4,4,15,35,50,15.0,35.0,50.0
2026-04-29 16:02:29,openai_gpt54mini_default_75,100,4,4,4,1,48,51,1.0,48.0,51.0
2026-04-30 00:43:57,openai_gpt54mini_prose_75,100,4,4,4,16,44,40,16.0,44.0,40.0
2026-04-30 03:21:06,openai_gpt54mini_refine_75,100,4,4,4,1,68,31,1.0,68.0,31.0
2026-05-01 10:43:30,gemini_31_pro_prose_75,100,4,4,4,13,36,51,13.0,36.0,51.0
2026-05-01 15:05:47,gemini_31_pro_refine_75,100,4,4,4,15,51,34,15.0,51.0,34.0
2026-05-01 19:00:43,anthropic_sonnet46_default_75_noise,100,4,4,4,25,33,42,25.0,33.0,42.0
2026-05-01 23:41:51,anthropic_sonnet46_prose_75_noise,100,4,4,4,24,37,39,24.0,37.0,39.0
2026-05-02 04:03:20,anthropic_sonnet46_refine_75_noise,100,4,4,4,28,39,33,28.0,39.0,33.0
2026-05-02 07:21:45,gemini_25_flash_default_75_noise,100,4,4,4,24,33,43,24.0,33.0,43.0
2026-05-02 11:12:49,gemini_25_flash_prose_75_noise,100,4,4,4,38,25,37,38.0,25.0,37.0
2026-05-02 14:52:18,gemini_25_flash_refine_75_noise,100,4,4,4,39,29,32,39.0,29.0,32.0
